video_id,CLIP Score,PickScore,selected_by,Timestamp,Filename,Prompt,Style,rfc,cfg,Temporal Consistency,Embedding Distance,Unnamed: 11,__source_file,_row_id
BrushingTeeth,0.3376,19.3766,PICK#2,2025-08-13 15:12:43,animation-0005.mp4,"A young girl with long blonde hair is brushing her teeth in a bathroom, anime style",anime2,0.1,12,0.9559,0.6566,XXX,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,59
BrushingTeeth,0.377,19.3727,CLIP#2,2025-08-13 15:04:19,animation-0003.mp4,"A young girl with long blonde hair is brushing her teeth in a bathroom, mecha style",mecha,0.1,9,0.9377,0.614099979400635,XXX,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,63
CleanAndJerk,0.3244,18.8657,PICK#1,2025-08-13 15:48:55,animation-0003.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in a gym, anime style",anime1,0.1,9,0.884,0.6631,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,75
CleanAndJerk,0.3456,18.7129,CLIP#1,2025-08-13 15:53:42,animation-0003.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in a gym, anime style",anime2,0.1,9,0.9446,0.6471,XXX,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,81
CleanAndJerk,0.3383,18.8244,CLIP#2 + PICK#2,2025-08-13 15:48:27,animation-0001.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in a gym, anime style",anime1,0.1,5,0.9019,0.6507,XXX,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,73
Fencing,0.3862,20.3687,CLIP#1 + PICK#1,2025-08-13 17:00:26,animation-0005.mp4,"Two focused fencers in white uniforms duel on a strip inside a large sports hall, anime style",anime1,0.1,12,0.9038,0.5999,XXX,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,101
Fencing,0.3624,20.1778,PICK#2,2025-08-13 17:05:02,animation-0001.mp4,"Two focused fencers in white uniforms duel on a strip inside a large sports hall, anime style",anime2,0.1,5,0.9361,0.6303,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,103
Fencing,0.3796,19.1084,CLIP#2,2025-08-13 16:49:09,animation-0005.mp4,"Two focused fencers in white uniforms duel on a strip inside a large sports hall, pixel art style",pixel,0.1,12,0.9082,0.6085,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,119
GolfSwing,0.3328,20.9018,PICK#1,2025-08-13 17:40:47,animation-0001.mp4,"A man is practising his golf swing on the green front lawn of a brick house, anime style",anime2,0.1,5,0.9742,0.6637,XXX,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,127
GolfSwing,0.3577,20.2663,CLIP#1,2025-08-13 17:41:23,animation-0005.mp4,"A man is practising his golf swing on the green front lawn of a brick house, anime style",anime2,0.1,12,0.974,0.6385,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,131
GolfSwing,0.3382,20.6586,CLIP#2 + PICK#2,2025-08-13 17:35:53,animation-0001.mp4,"A man is practising his golf swing on the green front lawn of a brick house, anime style",anime1,0.1,5,0.9302,0.6536,XXX,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,121
HandstandWalking,0.3066,20.3357,PICK#1,2025-08-13 18:21:06,animation-0003.mp4,"An athletic person holds a steady handstand on a grassy hill under a vast blue sky, anime style",anime2,0.1,9,0.9794,0.6909,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,153
HandstandWalking,0.3337,20.0784,CLIP#1 + PICK#2,2025-08-13 18:20:26,animation-0001.mp4,"An athletic person holds a steady handstand on a grassy hill under a vast blue sky, anime style",anime2,0.1,5,0.9866,0.6646,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,151
HandstandWalking,0.3262,19.4418,CLIP#2,2025-08-13 18:20:53,animation-0002.mp4,"An athletic person holds a steady handstand on a grassy hill under a vast blue sky, anime style",anime2,0.3,9,0.9622,0.6689,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,152
HorseRiding,0.2778,19.2633,PICK#1,2025-08-13 19:12:01,animation-0005.mp4,"A rider on horseback navigates an obstacle course in a sandy arena with trees and hills, anime style",anime2,0.1,12,0.9652,0.7181,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,179
HorseRiding,0.3136,16.9503,CLIP#1,2025-08-13 18:28:49,animation-0005.mp4,"A rider on horseback navigates an obstacle course in a sandy arena with trees and hills, pixel art style",pixel,0.1,12,0.9441,0.6801,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,191
HorseRiding,0.3095,19.0219,PICK#2,2025-08-13 19:11:23,animation-0001.mp4,"A rider on horseback navigates an obstacle course in a sandy arena with trees and hills, anime style",anime2,0.1,5,0.9175,0.6823,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,175
HorseRiding,0.3135,18.5277,CLIP#2,2025-08-13 18:32:31,animation-0003.mp4,"A rider on horseback navigates an obstacle course in a sandy arena with trees and hills, mecha style",mecha,0.1,9,0.8958,0.6746,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,183
RockClimbingIndoor,0.355,19.1348,CLIP#1 + PICK#1,2025-08-13 19:32:16,animation-0003.mp4,"A climber ascends a challenging indoor climbing wall with a follow cinematic shot, mecha style",mecha,0.1,9,0.9162,0.6343,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,207
RockClimbingIndoor,0.3458,19.0881,PICK#2,2025-08-13 19:36:09,animation-0001.mp4,"A climber ascends a challenging indoor climbing wall with a follow cinematic shot, anime style",anime1,0.1,5,0.9522,0.6481,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,193
RockClimbingIndoor,0.3489,19.0483,CLIP#2,2025-08-13 19:36:41,animation-0003.mp4,"A climber ascends a challenging indoor climbing wall with a follow cinematic shot, anime style",anime1,0.1,9,0.912,0.6401,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,195
SkateBoarding,0.3318,19.2432,PICK#1,2025-08-13 21:15:09,animation-0005.mp4,"A skater with a red backpack is carving on a paved road next to a snowy mountain, anime style",anime1,0.1,12,0.9089,0.6581,,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,221
SkateBoarding,0.3618,18.6696,CLIP#1,2025-08-13 21:18:06,animation-0001.mp4,"A skater with a red backpack is carving on a paved road next to a snowy mountain, anime style",anime2,0.1,5,0.9382,0.6296,XXX,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,223
SkateBoarding,0.3398,19.0567,PICK#2,2025-08-13 21:14:23,animation-0001.mp4,"A skater with a red backpack is carving on a paved road next to a snowy mountain, anime style",anime1,0.1,5,0.8821,0.6439,XXX,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,217
SkateBoarding,0.3596,18.8167,CLIP#2,2025-08-13 21:10:22,animation-0001.mp4,"A skater with a red backpack is carving on a paved road next to a snowy mountain, mecha style",mecha,0.1,5,0.8747,0.621800005435944,XXX,/scratch/rs02358/ved_dissertation/CCEdit/outputs/tv2v/ALL-CCEdit.csv,229
