video_id,CLIP Score,PickScore,selected_by,Timestamp,Filename,Prompt,Prior Noise,Temporal Consistency,Embedding Distance,Best,__source_file,_row_id
HandstandWalking,0.2947,20.8152,PICK#2,2025-08-12 11:54:15,An_athletic_person_does_a_yoga_pose_on_a_grassy_hill_under_a_vast_blue_sky_0.3.mp4,An athletic person does a yoga pose on a grassy hill under a vast blue sky,0.3,0.9655,0.7013,,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,55
HandstandWalking,0.3242,20.7254,CLIP#2,2025-08-12 11:58:30,A_silver_robot_holds_a_steady_handstand_on_a_grassy_hill_under_a_vast_blue_sky_0.1.mp4,A silver robot holds a steady handstand on a grassy hill under a vast blue sky,0.1,0.9472,0.6694,XXX,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,60
HorseRiding,0.3311,21.1508,PICK#1,2025-08-12 12:09:36,A_rider_on_horseback_jumps_over_fences_in_a_sandy_arena_with_trees_and_hills_0.1.mp4,A rider on horseback jumps over fences in a sandy arena with trees and hills,0.1,0.9593,0.6645,,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,66
HorseRiding,0.344,20.3991,CLIP#1,2025-08-12 12:09:51,A_rider_on_horseback_jumps_over_fences_in_a_sandy_arena_with_trees_and_hills_0.3.mp4,A rider on horseback jumps over fences in a sandy arena with trees and hills,0.3,0.9649,0.6509,,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,67
HorseRiding,0.3431,20.9203,CLIP#2 + PICK#2,2025-08-12 12:09:04,A_man_riding_a_zebra_navigates_an_obstacle_course_in_a_sandy_arena_with_trees_and_hills_0.3.mp4,A man riding a zebra navigates an obstacle course in a sandy arena with trees and hills,0.3,0.9086,0.6441,,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,64
RockClimbingIndoor,0.3467,19.4686,CLIP#2 + PICK#1,2025-08-12 12:27:30,A_woman_in_a_maids_costume_ascends_a_challenging_indoor_climbing_wall_with_a_follow_cinematic_shot_0.1.mp4,A woman in a maid's costume ascends a challenging indoor climbing wall with a follow cinematic shot,0.1,0.9665,0.6483,XXX,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,78
RockClimbingIndoor,0.3492,19.3605,CLIP#1 + PICK#2,2025-08-12 12:28:01,A_woman_in_a_maids_costume_ascends_a_challenging_indoor_climbing_wall_with_a_follow_cinematic_shot_0.3.mp4,A woman in a maid's costume ascends a challenging indoor climbing wall with a follow cinematic shot,0.3,0.9592,0.6463,,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,79
SkateBoarding,0.3142,21.1811,PICK#1,2025-08-12 12:31:55,An_emperor_penguin_with_a_red_backpack_is_carving_on_a_paved_road_next_to_a_snowy_mountain_0.3.mp4,An emperor penguin with a red backpack is carving on a paved road next to a snowy mountain,0.3,0.9795,0.6827,,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,82
SkateBoarding,0.3516,19.8595,CLIP#1,2025-08-12 12:34:29,A_skater_with_a_red_backpack_is_handstand_walking_on_a_paved_road_next_to_a_snowy_mountain_0.5.mp4,A skater with a red backpack is handstand walking on a paved road next to a snowy mountain,0.5,0.9376,0.6412,,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,89
SkateBoarding,0.3117,21.0268,PICK#2,2025-08-12 12:31:43,An_emperor_penguin_with_a_red_backpack_is_carving_on_a_paved_road_next_to_a_snowy_mountain_0.1.mp4,An emperor penguin with a red backpack is carving on a paved road next to a snowy mountain,0.1,0.9794,0.6861,,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,81
SkateBoarding,0.339,19.9539,CLIP#2,2025-08-12 12:33:59,A_skater_with_a_red_backpack_is_handstand_walking_on_a_paved_road_next_to_a_snowy_mountain_0.1.mp4,A skater with a red backpack is handstand walking on a paved road next to a snowy mountain,0.1,0.9715,0.6574,,/scratch/rs02358/ved_dissertation/MotionDirector/outputs/inference/ALL-MotionDirector.csv,87
